-------+-------+----+----------+-----+--------+--------------+------+----------+---------+-----------+---------+----------------+-----------------------+-----------------+-----------------+----------+----------+-------------
 round | turn  | P  | src      | idx | color  | dest         | drow | total    | visits  | value     | avg     | h_floor_action | h_first_player_marker | h_line_progress | h_base_priority | h_ev_row | h_ev_col | h_adjacency 
-------+-------+----+----------+-----+--------+--------------+------+----------+---------+-----------+---------+----------------+-----------------------+-----------------+-----------------+----------+----------+-------------
 1     | 1     | 0  | factory  | 2   | red    | pattern_line | 3    |     5.25 |      12 |      14.0 |    1.17 |           0.00 |                  0.00 |            2.00 |            2.00 |     0.14 |     0.11 |        1.00 
 1     | 2     | 1  | factory  | 0   | red    | pattern_line | 0    |     8.25 |       7 |       7.0 |    1.00 |           0.00 |                  0.00 |            2.00 |            5.00 |     0.14 |     0.11 |        1.00 
 1     | 3     | 0  | factory  | 1   | black  | pattern_line | 2    |     6.25 |      30 |      50.0 |    1.67 |           0.00 |                  0.00 |            2.00 |            3.00 |     0.14 |     0.11 |        1.00 
 1     | 4     | 1  | factory  | 3   | green  | pattern_line | 1    |     7.25 |      24 |       2.0 |    0.08 |           0.00 |                  0.00 |            2.00 |            4.00 |     0.14 |     0.11 |        1.00 
 1     | 5     | 0  | factory  | 4   | black  | pattern_line | 0    |     8.25 |     170 |     944.0 |    5.55 |           0.00 |                  0.00 |            2.00 |            5.00 |     0.14 |     0.11 |        1.00 
 1     | 6     | 1  | center   |     | yellow | pattern_line | 4    |     3.15 |     223 |     364.0 |    1.63 |           0.00 |                  0.90 |            0.00 |            1.00 |     0.14 |     0.11 |        1.00 
 1     | 7     | 0  | center   |     | red    | pattern_line | 1    |     7.25 |     277 |    1603.0 |    5.79 |           0.00 |                  0.00 |            2.00 |            4.00 |     0.14 |     0.11 |        1.00 
 1     | 8     | 1  | center   |     | green  | pattern_line | 3    |     3.25 |     273 |     534.0 |    1.96 |           0.00 |                  0.00 |            0.00 |            2.00 |     0.14 |     0.11 |        1.00 
 1     | 9     | 0  | center   |     | blue   | pattern_line | 4    |     2.25 |     299 |    1196.0 |    4.00 |           0.00 |                  0.00 |            0.00 |            1.00 |     0.14 |     0.11 |        1.00 
 2     | 1     | 1  | factory  | 4   | black  | floor        |      |     1.90 |      10 |     -13.0 |   -1.30 |           0.90 |                  0.00 |            0.00 |            1.00 |     0.00 |     0.00 |        0.00 
 2     | 2     | 0  | factory  | 3   | blue   | pattern_line | 1    |     7.77 |      18 |     131.0 |    7.28 |           0.00 |                  0.00 |            2.00 |            4.00 |     0.67 |     0.11 |        1.00 
 2     | 3     | 1  | factory  | 2   | green  | pattern_line | 0    |     9.77 |      33 |     -79.0 |   -2.39 |           0.00 |                  0.00 |            2.00 |            5.00 |     0.67 |     0.11 |        2.00 
 2     | 4     | 0  | factory  | 1   | red    | pattern_line | 0    |     9.77 |      36 |     189.0 |    5.25 |           0.00 |                  0.00 |            2.00 |            5.00 |     0.67 |     0.11 |        2.00 
 2     | 5     | 1  | factory  | 0   | yellow | pattern_line | 4    |     2.37 |     238 |    1371.0 |    5.76 |           0.00 |                  0.00 |            0.12 |            1.00 |     0.14 |     0.11 |        1.00 
 2     | 6     | 0  | center   |     | blue   | pattern_line | 4    |     5.15 |     240 |    2071.0 |    8.63 |           0.00 |                  0.90 |            2.00 |            1.00 |     0.14 |     0.11 |        1.00 
